Axis,Trace,Value
Identify competitors,Automation Potential,6
Identify competitors,Business Impact,6
Analyze and evaluate competition,Automation Potential,6
Analyze and evaluate competition,Business Impact,6
Identify potential product or service alternatives,Automation Potential,5
Identify potential product or service alternatives,Business Impact,5.67
Identify economic trends,Automation Potential,6
Identify economic trends,Business Impact,6
Identify political and regulatory factors,Automation Potential,5
Identify political and regulatory factors,Business Impact,5.33
Identify environmental factors,Automation Potential,5
Identify environmental factors,Business Impact,5.67
Identify social and cultural changes,Automation Potential,5
Identify social and cultural changes,Business Impact,5.33
Assess new technologies,Automation Potential,5
Assess new technologies,Business Impact,5.33
Analyze demographics,Automation Potential,6
Analyze demographics,Business Impact,6
Evaluate intellectual property,Automation Potential,6
Evaluate intellectual property,Business Impact,6
